zip,lat,lng,population
10128,40.78151,-73.95018,57993
30066,34.034,-84.50798,57953
89148,36.06337,-115.29676,57952
43015,40.29812,-83.06049,57893
30253,33.45028,-84.18579,57889
92020,32.79557,-116.9697,57796
75149,32.76994,-96.6151,57758
85706,32.14783,-110.93541,57712
23456,36.73435,-76.03492,57705
78207,29.42223,-98.52545,57700
48228,42.35562,-83.21791,57698
77406,29.64571,-95.79184,57622
8901,40.48426,-74.44275,57607
85035,33.47167,-112.19538,57599
70726,30.42994,-90.90361,57561
72764,36.17746,-94.051,57561
77015,29.76485,-95.17216,57553
10460,40.84273,-73.87891,57514
75007,33.00498,-96.8959,57513
23454,36.83216,-76.02616,57508
22554,38.42285,-77.3835,57488
27410,36.11826,-79.89223,57466
85705,32.27119,-110.99172,57449
94568,37.71596,-121.90113,57395
87111,35.13824,-106.51589,57389
87105,34.99512,-106.68644,57365
976,18.33903,-65.99286,57297
91764,34.07533,-117.60164,57265
92027,33.13263,-116.98335,57225
32259,30.07109,-81.6029,57223
95670,38.60461,-121.27963,57222
92071,32.85045,-116.99479,57207
93313,35.16363,-119.04715,57200
97301,44.94948,-123.00439,57194
77088,29.88148,-95.45316,57177
29730,34.8878,-81.02116,57174
78852,28.82698,-100.31543,57160
30318,33.79235,-84.44831,57136
2124,42.28583,-71.07114,57128
37027,35.99978,-86.78439,57096
85345,33.57215,-112.24838,57095
11550,40.70158,-73.62039,57073
37130,35.8809,-86.33003,57068
31088,32.58587,-83.65528,57063
60638,41.78175,-87.77057,57057
20020,38.86234,-76.97446,57031
32771,28.81496,-81.31751,57030
94087,37.35164,-122.03669,57015
30114,34.24433,-84.5393,57013
77469,29.49229,-95.70571,57011
2169,42.23971,-71.01802,56999
59901,48.22873,-114.40564,56951
8854,40.54648,-74.46342,56948
21222,39.26424,-76.49537,56946
92392,34.479,-117.40884,56938
30016,33.51836,-83.93073,56934
92223,33.9382,-116.98137,56925
89117,36.14267,-115.28001,56880
55901,44.07679,-92.5018,56879
33177,25.59703,-80.40458,56862
60411,41.50791,-87.59031,56862
8527,40.10478,-74.35035,56848
27603,35.66408,-78.66186,56826
91405,34.20153,-118.44863,56821
92708,33.71046,-117.95132,56811
89147,36.11289,-115.27985,56784
89129,36.23325,-115.29025,56770
43229,40.08569,-82.97636,56760
92130,32.94763,-117.20586,56741
90813,33.78237,-118.19656,56726
80229,39.85472,-104.95867,56721
35242,33.42371,-86.67073,56713
44077,41.69933,-81.21142,56702
92129,32.96354,-117.12622,56608
93458,34.95477,-120.49042,56572
92646,33.66525,-117.96755,56568
97045,45.32834,-122.53058,56558
78223,29.31102,-98.38675,56484
90744,33.77821,-118.26087,56450
33161,25.89357,-80.18285,56446
92530,33.63386,-117.37949,56442
85282,33.3943,-111.93242,56435
24060,37.25772,-80.41961,56423
39503,30.47432,-89.14752,56418
90034,34.03059,-118.39936,56416
23452,36.84604,-76.09197,56392
94591,38.12702,-122.19635,56333
15601,40.31397,-79.53643,56328
77070,29.97783,-95.57377,56260
93063,34.30922,-118.69041,56259
89052,35.97988,-115.10788,56242
80525,40.52795,-105.04249,56233
32068,30.08218,-81.88245,56217
63021,38.5689,-90.54564,56154
97124,45.57088,-122.94584,56101
45140,39.25603,-84.24433,56093
11225,40.6631,-73.95392,56072
27703,35.96299,-78.80452,56071
45040,39.35023,-84.30996,56068
27616,35.86735,-78.53792,55997
70072,29.83012,-90.12724,55967
46143,39.59484,-86.11323,55965
30075,34.05282,-84.38739,55945
27284,36.11818,-80.07794,55913
60506,41.76176,-88.37125,55895
38017,35.06722,-89.65347,55884
20904,39.06608,-76.97918,55856
45840,41.02626,-83.64943,55834
33196,25.64505,-80.55524,55829
32162,28.91629,-81.99374,55828
46227,39.67607,-86.13145,55806
94109,37.79334,-122.42138,55797
80631,40.44216,-104.67809,55748
93436,34.60888,-120.4002,55727
55044,44.64156,-93.27858,55722
91344,34.28991,-118.5047,55694
60630,41.97222,-87.75758,55692
93215,35.7764,-119.18835,55648
95122,37.32925,-121.83481,55619
7728,40.22522,-74.28447,55598
90745,33.82117,-118.26458,55567
28025,35.38095,-80.52719,55540
98115,47.68547,-122.28234,55519
27713,35.88401,-78.936,55516
60453,41.71412,-87.75278,55515
43068,39.95667,-82.78468,55498
7083,40.69443,-74.2692,55465
77089,29.58698,-95.2257,55410
87124,35.27144,-106.79627,55409
91745,33.99926,-117.97225,55394
28655,35.75578,-81.74212,55375
32246,30.29422,-81.51782,55325
95376,37.73678,-121.43404,55296
33467,26.59472,-80.17567,55279
32703,28.65579,-81.52139,55239
43701,39.95986,-81.99498,55231
45601,39.30996,-82.9555,55220
19320,39.97046,-75.83069,55219
93308,35.5498,-118.93389,55211
61761,40.52503,-88.95152,55198
43228,39.96367,-83.12478,55186
23112,37.43738,-77.66394,55165
85201,33.4336,-111.84929,55159
33312,26.08835,-80.18166,55149
11238,40.67105,-73.96636,55102
99208,47.78071,-117.46135,55092
85037,33.49038,-112.26487,55083
21215,39.34578,-76.68367,55081
48103,42.2581,-83.84333,55078
92399,34.04469,-117.004,55070
75287,33.00015,-96.84075,55060
21061,39.16116,-76.63226,55020
94539,37.51635,-121.9119,55006
19702,39.62199,-75.72803,54980
33063,26.25138,-80.21014,54916
28110,35.06552,-80.52781,54912
19020,40.10453,-74.93853,54850
30518,34.132,-84.02578,54832
92234,33.81386,-116.46663,54812
92701,33.7486,-117.85877,54796
95116,37.35043,-121.85255,54758
19382,39.92766,-75.61475,54748
41042,38.98595,-84.64906,54730
92505,33.92663,-117.4928,54706
10003,40.73184,-73.98915,54671
6516,41.27393,-72.96718,54666
75025,33.09057,-96.74061,54653
20744,38.75362,-76.98393,54572
92618,33.66729,-117.73362,54509
12550,41.53671,-74.05196,54503
33165,25.73437,-80.35862,54497
45013,39.40649,-84.6501,54440
8873,40.49865,-74.53284,54416
43302,40.59995,-83.12967,54413
89103,36.11236,-115.21215,54406
96817,21.34016,-157.83749,54378
37066,36.39871,-86.45594,54377
10306,40.57149,-74.1243,54318
92840,33.78584,-117.93202,54315
91406,34.19791,-118.48987,54309
92557,33.96855,-117.25704,54275
73013,35.62149,-97.49614,54263
75216,32.71158,-96.78256,54253
97206,45.48173,-122.5988,54248
7111,40.72426,-74.23173,54220
95023,36.92113,-121.36117,54197
98103,47.6732,-122.34258,54194
91786,34.10525,-117.66206,54165
91801,34.09093,-118.12776,54161
33578,27.86187,-82.34775,54143
76051,32.94192,-97.07888,54130
92584,33.66167,-117.18079,54130
20148,38.99062,-77.53284,54125
95125,37.29554,-121.89408,54076
95350,37.67175,-121.00732,54044
60056,42.06618,-87.93473,54023
85009,33.44457,-112.12661,54000
38654,34.93635,-89.82409,53995
75061,32.82607,-96.96563,53983
90723,33.89768,-118.16508,53949
33176,25.65876,-80.35919,53934
23223,37.55595,-77.37927,53917
8861,40.52087,-74.27397,53899
30093,33.90879,-84.17839,53896
80012,39.69976,-104.83784,53862
6511,41.31663,-72.92587,53859
22204,38.86076,-77.09894,53855
90063,34.0452,-118.18583,53846
95616,38.55819,-121.80044,53805
55124,44.74566,-93.20042,53781
80504,40.16523,-105.03029,53743
14221,42.97918,-78.72158,53727
20009,38.91986,-77.03749,53715
75080,32.97382,-96.7416,53708
76133,32.6538,-97.37746,53694
84096,40.50539,-112.08546,53693
7470,40.94805,-74.24504,53679
91304,34.22472,-118.63261,53637
78247,29.58005,-98.41196,53597
36117,32.37831,-86.14627,53594
14580,43.21883,-77.44561,53593
33018,25.92,-80.39274,53575
84119,40.70289,-111.94591,53536
20850,39.0908,-77.1809,53522
76549,31.01583,-97.82546,53490
75074,33.03298,-96.67304,53459
2151,42.41887,-71.004,53416
32225,30.35768,-81.50592,53414
90002,33.94906,-118.24679,53402
85365,33.07067,-114.13801,53355
7030,40.7451,-74.02815,53283
84074,40.57379,-112.29914,53254
27407,36.01124,-79.87588,53237
96789,21.47823,-157.97264,53233
